DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24661378",68500,5,75,510
"24661392",71000,0,70,434
"24661377",51600,10,85,407
"24661372",69000,5,76,373
"24661434",59200,25,72,1085
"24661373",68000,0,73,394
"24661376",46800,15,82,532
"24661374",38800,5,81,295
"24661436",41200,60,69,621
"24661375",42800,45,66,952
"24661443",64500,5,77,607
"24661442",53200,10,85,1138
"24661628",54400,10,84,602
"24661458",52400,5,78,362
"24661457",52800,10,83,640
"24661444",50400,60,73,1428
"24661629",61600,0,68,620
"24661456",58400,5,82,596
"24661445",43600,10,84,437
"24661455",56400,0,79,377
"24661446",53200,10,78,602
"24661454",52000,5,80,585
"24661447",48000,35,69,944
"24661464",47200,55,65,661
"24661453",54000,15,77,787
"24661448",48800,10,86,433
"24661449",44800,5,79,472
"24661452",49600,25,68,413
"24661647",56400,10,80,894
"24661451",49600,0,85,379
"24661450",53600,5,75,402
"24661646",59200,5,78,403
"24662102",47200,0,89,268
"24661648",49200,5,75,411
"24661649",51200,0,78,381
"24662101",52400,0,71,389
"24661650",59600,5,72,434
"24661651",43600,10,76,488
"24661652",57600,5,73,539
"24662100",42800,10,76,386
"24661653",54800,5,76,617
"24661641",65500,0,63,844
"24662098",53600,5,70,354
"24661654",44800,20,75,767
